model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_calls,output_dir
deepseek-v4-flash,web-007,C2_only,no_validated_findings,max_steps,40,44,0,2,False,LFI,0,3,0,358.86,16500,0.03500000000000002,558853,24542,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-007_dispatcher_mixed_default_20260628T085236Z
deepseek-v4-flash,web-007,C3_only,no_validated_findings,max_steps,40,58,0,1,False,LFI,1,0,0,821.15,6600,0.014,1024016,55608,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-007_dispatcher_mixed_default_20260628T085836Z
deepseek-v4-flash,web-007,C1_only,no_validated_findings,finished,32,32,0,3,False,LFI,0,0,0,457.45,10000,0.021000000000000005,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-007_dispatcher_mixed_default_20260628T091219Z
deepseek-v4-flash,web-007,all,no_validated_findings,max_steps,40,46,0,1,False,LFI,1,1,0,640.25,7600,0.016,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-007_dispatcher_mixed_default_20260628T091958Z
deepseek-v4-flash,web-008,baseline,no_validated_findings,max_steps,40,44,0,3,False,SQLi,1,0,0,335.1,33700,0.08100000000000002,806524,23363,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-008_dispatcher_mixed_default_20260628T093039Z
deepseek-v4-flash,web-008,C2_only,no_validated_findings,finished,19,26,0,2,False,SQLi,1,1,0,202.0,13100,0.032,221386,14408,19,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-008_dispatcher_mixed_default_20260628T093616Z
deepseek-v4-flash,web-008,C3_only,no_validated_findings,finished,20,26,0,4,False,SQLi,1,0,0,217.77,10500,0.025,342391,14123,20,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-008_dispatcher_mixed_default_20260628T093940Z
deepseek-v4-flash,web-008,C1_only,no_validated_findings,finished,24,31,0,5,False,SQLi,1,0,0,191.18,16200,0.04,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-008_dispatcher_mixed_default_20260628T094319Z
deepseek-v4-flash,web-008,all,no_validated_findings,finished,20,30,0,1,False,SQLi,1,1,0,222.83,16200,0.04,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-008_dispatcher_mixed_default_20260628T094632Z
deepseek-v4-flash,web-009,baseline,no_validated_findings,finished,36,37,0,3,False,NoSQLi,0,0,0,165.76,13400,0.02800000000000001,405762,6201,36,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-009_dispatcher_mixed_default_20260628T095016Z
deepseek-v4-flash,web-009,C2_only,no_validated_findings,finished,21,25,0,3,False,NoSQLi,1,1,0,109.06,6600,0.014000000000000002,211200,5066,21,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-009_dispatcher_mixed_default_20260628T095303Z
deepseek-v4-flash,web-009,C3_only,no_validated_findings,finished,24,32,0,2,False,NoSQLi,1,0,0,154.17,6600,0.014000000000000002,359813,6289,24,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-009_dispatcher_mixed_default_20260628T095454Z
deepseek-v4-flash,web-009,C1_only,no_validated_findings,finished,37,41,0,4,False,NoSQLi,1,0,0,198.96,13800,0.029000000000000012,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-009_dispatcher_mixed_default_20260628T095729Z
deepseek-v4-flash,web-009,all,no_validated_findings,finished,16,24,0,2,False,NoSQLi,1,0,0,109.26,5200,0.011000000000000003,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-009_dispatcher_mixed_default_20260628T100050Z
deepseek-v4-flash,web-010,baseline,no_validated_findings,finished,17,17,0,5,False,Auth Bypass,1,0,0,112.4,6900,0.016,194427,6543,17,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-010_dispatcher_mixed_default_20260628T100241Z
deepseek-v4-flash,web-010,C2_only,no_validated_findings,finished,15,15,0,2,False,Auth Bypass,0,0,0,86.79,6900,0.016,151855,5187,15,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-010_dispatcher_mixed_default_20260628T100435Z
deepseek-v4-flash,web-010,C3_only,no_validated_findings,finished,20,22,0,2,False,Auth Bypass,1,0,0,124.7,8800,0.020000000000000004,306595,7370,20,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-010_dispatcher_mixed_default_20260628T100603Z
deepseek-v4-flash,web-010,C1_only,no_validated_findings,finished,21,22,0,4,False,Auth Bypass,0,0,0,122.39,9300,0.021000000000000005,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-010_dispatcher_mixed_default_20260628T100809Z
deepseek-v4-flash,web-010,all,no_validated_findings,finished,16,18,0,3,False,Auth Bypass,1,0,0,101.4,6400,0.015,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-010_dispatcher_mixed_default_20260628T101013Z
deepseek-v4-flash,web-011,baseline,no_validated_findings,finished,16,18,0,2,False,Insecure Temp File / Race Condition,0,0,0,126.76,5700,0.012,193794,8695,16,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-011_dispatcher_mixed_default_20260628T101156Z
deepseek-v4-flash,web-011,C2_only,no_validated_findings,max_steps,40,47,0,4,False,Insecure Temp File / Race Condition,0,2,0,242.14,15400,0.032000000000000015,510046,13740,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-011_dispatcher_mixed_default_20260628T101404Z
deepseek-v4-flash,web-011,C3_only,no_validated_findings,finished,26,32,0,2,False,Insecure Temp File / Race Condition,0,0,0,208.21,7100,0.015000000000000003,448501,11172,26,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-011_dispatcher_mixed_default_20260628T101808Z
deepseek-v4-flash,web-011,C1_only,no_validated_findings,finished,27,26,0,4,False,Insecure Temp File / Race Condition,0,0,0,200.64,8600,0.018000000000000002,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-011_dispatcher_mixed_default_20260628T102138Z
deepseek-v4-flash,web-011,all,no_validated_findings,max_steps,40,65,0,1,False,Insecure Temp File / Race Condition,0,1,0,355.24,7900,0.017,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-011_dispatcher_mixed_default_20260628T102500Z
deepseek-v4-flash,web-012,baseline,no_validated_findings,finished,38,40,0,2,False,Session Forgery,1,0,0,286.33,15300,0.032000000000000015,678377,17631,38,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-012_dispatcher_mixed_default_20260628T103056Z
deepseek-v4-flash,web-012,C2_only,no_validated_findings,max_steps,40,40,0,3,False,Session Forgery,1,2,0,343.68,12800,0.02700000000000001,520828,23845,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-012_dispatcher_mixed_default_20260628T103544Z
deepseek-v4-flash,web-012,C3_only,no_validated_findings,max_steps,40,57,0,0,False,Session Forgery,0,0,0,676.55,5600,0.012000000000000002,811227,54243,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-012_dispatcher_mixed_default_20260628T104129Z
deepseek-v4-flash,web-012,C1_only,no_validated_findings,max_steps,40,44,0,3,False,Session Forgery,0,0,0,481.17,14700,0.031000000000000014,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-012_dispatcher_mixed_default_20260628T105248Z
deepseek-v4-flash,web-012,all,no_validated_findings,max_steps,40,56,0,2,False,Session Forgery,0,2,0,409.43,10900,0.023000000000000007,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-012_dispatcher_mixed_default_20260628T110050Z
deepseek-v4-flash,web-013,baseline,no_validated_findings,max_steps,40,50,0,6,False,SSTI,0,0,0,265.49,12800,0.02700000000000001,610553,14992,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-013_dispatcher_mixed_default_20260628T110741Z
deepseek-v4-flash,web-013,C2_only,no_validated_findings,max_steps,40,50,0,2,False,SSTI,0,3,0,318.94,7100,0.015,484106,19446,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-013_dispatcher_mixed_default_20260628T111208Z
deepseek-v4-flash,web-013,C3_only,no_validated_findings,max_steps,40,48,0,3,False,SSTI,0,0,0,332.63,13700,0.029000000000000012,889434,20163,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-013_dispatcher_mixed_default_20260628T111729Z
deepseek-v4-flash,web-013,C1_only,no_validated_findings,finished,32,39,0,5,False,SSTI,0,0,0,201.26,12800,0.02700000000000001,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-013_dispatcher_mixed_default_20260628T112303Z
deepseek-v4-flash,web-013,all,no_validated_findings,max_steps,40,61,0,1,False,SSTI,0,2,0,271.42,11400,0.024000000000000007,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-013_dispatcher_mixed_default_20260628T112625Z
deepseek-v4-flash,web-014,baseline,no_validated_findings,finished,33,38,0,3,False,Path Traversal,0,0,0,222.79,11400,0.024000000000000007,497748,11564,33,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-014_dispatcher_mixed_default_20260628T113058Z
deepseek-v4-flash,web-014,C2_only,no_validated_findings,max_steps,40,44,0,5,False,Path Traversal,0,2,0,246.45,13800,0.029000000000000012,498934,13222,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-014_dispatcher_mixed_default_20260628T113443Z
deepseek-v4-flash,web-014,C3_only,no_validated_findings,finished,30,39,0,2,False,Path Traversal,0,0,0,207.32,11900,0.02500000000000001,567686,12786,30,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-014_dispatcher_mixed_default_20260628T113851Z
deepseek-v4-flash,web-014,C1_only,no_validated_findings,finished,33,36,0,4,False,Path Traversal,0,0,0,205.14,12800,0.02700000000000001,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-014_dispatcher_mixed_default_20260628T114219Z
deepseek-v4-flash,web-014,all,no_validated_findings,max_steps,40,54,0,5,False,Path Traversal,0,2,0,317.03,11900,0.02500000000000001,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-014_dispatcher_mixed_default_20260628T114546Z
deepseek-v4-flash,web-015,baseline,no_validated_findings,finished,28,31,0,4,False,Path Traversal,1,0,0,375.43,11900,0.028000000000000004,701473,31659,28,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-015_dispatcher_mixed_default_20260628T115105Z
deepseek-v4-flash,web-015,C2_only,no_validated_findings,finished,20,20,0,2,False,Path Traversal,1,0,0,206.17,11400,0.027000000000000003,301356,16562,20,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-015_dispatcher_mixed_default_20260628T115722Z
deepseek-v4-flash,web-015,C3_only,no_validated_findings,finished,28,31,0,3,False,Path Traversal,1,0,0,308.05,9700,0.022000000000000006,715608,24702,28,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-015_dispatcher_mixed_default_20260628T120049Z
deepseek-v4-flash,web-015,C1_only,no_validated_findings,finished,31,32,0,5,False,Path Traversal,1,0,1,329.88,12400,0.029000000000000005,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-015_dispatcher_mixed_default_20260628T120559Z
deepseek-v4-flash,web-015,all,no_validated_findings,max_steps,40,46,0,3,False,Path Traversal,0,0,0,362.88,8700,0.020000000000000004,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-015_dispatcher_mixed_default_20260628T121130Z
deepseek-v4-flash,web-016,baseline,no_validated_findings,finished,27,31,0,2,False,Command Injection,0,0,0,151.04,11500,0.024000000000000007,347537,8079,27,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-016_dispatcher_mixed_default_20260628T121735Z
deepseek-v4-flash,web-016,C2_only,no_validated_findings,finished,35,39,0,1,False,Command Injection,1,1,0,180.12,11500,0.024000000000000007,383725,7964,35,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-016_dispatcher_mixed_default_20260628T122007Z
deepseek-v4-flash,web-016,C3_only,no_validated_findings,finished,23,26,0,2,False,Command Injection,1,0,0,159.19,9500,0.020000000000000004,368006,8943,23,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-016_dispatcher_mixed_default_20260628T122309Z
deepseek-v4-flash,web-016,C1_only,no_validated_findings,finished,25,28,0,2,False,Command Injection,0,0,0,140.92,10000,0.021000000000000005,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-016_dispatcher_mixed_default_20260628T122550Z
deepseek-v4-flash,web-016,all,no_validated_findings,max_steps,40,43,0,2,False,Command Injection,1,1,0,218.26,9100,0.019000000000000003,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-016_dispatcher_mixed_default_20260628T122812Z
deepseek-v4-flash,web-017,baseline,no_validated_findings,max_steps,40,40,0,5,False,Auth Bypass,1,0,0,306.28,14600,0.031000000000000014,764243,19317,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-017_dispatcher_mixed_default_20260628T123152Z
deepseek-v4-flash,web-017,C2_only,no_validated_findings,max_steps,40,44,0,4,False,Auth Bypass,1,2,0,247.08,13400,0.02800000000000001,510432,14043,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-017_dispatcher_mixed_default_20260628T123659Z
deepseek-v4-flash,web-017,C3_only,no_validated_findings,max_steps,40,46,0,3,False,Auth Bypass,0,0,0,345.2,11500,0.024000000000000007,921242,23192,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-017_dispatcher_mixed_default_20260628T124108Z
deepseek-v4-flash,web-017,C1_only,no_validated_findings,finished,37,40,0,4,False,Auth Bypass,1,0,0,224.58,12600,0.02600000000000001,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-017_dispatcher_mixed_default_20260628T124655Z
deepseek-v4-flash,web-017,all,no_validated_findings,max_steps,40,46,0,5,False,Auth Bypass,1,2,0,285.25,11400,0.024000000000000007,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-017_dispatcher_mixed_default_20260628T125041Z
deepseek-v4-flash,web-018,baseline,no_validated_findings,finished,15,14,0,1,False,XSS,1,0,0,81.8,6900,0.016,150149,4394,15,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-018_dispatcher_mixed_default_20260628T125528Z
deepseek-v4-flash,web-018,C2_only,no_validated_findings,finished,21,21,0,2,False,XSS,1,1,0,131.86,9300,0.021000000000000005,237724,7893,21,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-018_dispatcher_mixed_default_20260628T125651Z
deepseek-v4-flash,web-018,C3_only,no_validated_findings,finished,14,18,0,2,False,XSS,1,0,0,89.85,7900,0.018000000000000002,188956,5025,14,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-018_dispatcher_mixed_default_20260628T125904Z
deepseek-v4-flash,web-018,C1_only,no_validated_findings,finished,20,26,0,2,False,XSS,1,0,0,133.26,15500,0.037000000000000005,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-018_dispatcher_mixed_default_20260628T130036Z
deepseek-v4-flash,web-018,all,no_validated_findings,finished,16,21,0,2,False,XSS,1,0,0,119.44,6900,0.016,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-018_dispatcher_mixed_default_20260628T130250Z
deepseek-v4-flash,web-019,baseline,no_validated_findings,max_steps,40,40,0,1,False,HTTP Request Smuggling,0,0,0,240.34,16200,0.034000000000000016,563103,12921,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-019_dispatcher_mixed_default_20260628T130451Z
deepseek-v4-flash,web-019,C2_only,no_validated_findings,max_steps,40,41,0,5,False,HTTP Request Smuggling,0,2,0,267.12,12000,0.02500000000000001,517877,18221,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-019_dispatcher_mixed_default_20260628T130853Z
deepseek-v4-flash,web-019,C3_only,no_validated_findings,max_steps,40,50,0,2,False,HTTP Request Smuggling,1,0,0,257.12,10000,0.021000000000000005,758766,13104,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-019_dispatcher_mixed_default_20260628T131322Z
deepseek-v4-flash,web-019,C1_only,no_validated_findings,finished,26,25,0,6,False,HTTP Request Smuggling,1,0,0,180.06,8100,0.017000000000000005,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-019_dispatcher_mixed_default_20260628T131740Z
deepseek-v4-flash,web-019,all,no_validated_findings,finished,24,35,0,2,False,HTTP Request Smuggling,1,0,0,166.89,5700,0.012,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-019_dispatcher_mixed_default_20260628T132042Z
deepseek-v4-flash,web-020,baseline,no_validated_findings,max_steps,40,52,0,6,False,SSTI,1,0,0,249.9,13800,0.03200000000000001,509079,14299,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-020_dispatcher_mixed_default_20260628T132330Z
deepseek-v4-flash,web-020,C2_only,no_validated_findings,max_steps,40,52,0,4,False,SSTI,1,2,0,306.09,22900,0.05400000000000001,558995,21469,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-020_dispatcher_mixed_default_20260628T132742Z
deepseek-v4-flash,web-020,C3_only,no_validated_findings,max_steps,40,54,0,5,False,SSTI,1,0,0,286.59,16400,0.03900000000000001,892419,18189,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-020_dispatcher_mixed_default_20260628T133249Z
deepseek-v4-flash,web-020,C1_only,no_validated_findings,finished,32,36,0,5,False,SSTI,0,0,0,284.09,15000,0.036000000000000004,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-020_dispatcher_mixed_default_20260628T133738Z
deepseek-v4-flash,web-020,all,no_validated_findings,finished,28,42,0,4,False,SSTI,1,0,0,235.86,11900,0.028000000000000004,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-020_dispatcher_mixed_default_20260628T134223Z
